Sentence,location_from,location_to
대흥 to PA관,대흥역,PA관
로욜라 3관에서 경제관 가는 법!,로욜라 3관,경제관
제이에서 마관으로 길찾기!,제이관,마관
신촌역에서 대흥역 가는 법,신촌역,대흥역
R관 가는 법좀 알려주라,,R관
가장 가까운 편의점의 위치와 가는 법좀,,가까운 편의점
지하 주차장에서 다산관 빠르게 가는 방법 좀 알려줘,지하주차장,다산관
글쓰기 센터 어캐감,,글쓰기센터
다산관 안 힘들게 가는 법 좀,,다산관
AS관 1층에서 10층으로 가는 방법을 알려줄래?,AS관 1층,AS관 10층
로욜라 3관 어캐감,,로욜라 3관
F관은 어디고 어떻게 가야하는가,,F관
MA관에서 가장 가까운 주차장과 가는 법좀,MA관,주차장
서강대역에서 다산관 효율적으로 가는 법,서강대역,다산관
파관에서 제이관 가는 법 알려줘,"파관 ",제이관
신촌역에서 RA관을 어떻게 가야 안 힘들게 갔다고 소문이 날까?,신촌역,RA관
벨라에서 파관 어캐가 ㅜ,벨라,파관
경제관 → R관,경제관,R관
MA관에서 대흥역 가는 가장 빠른 방법좀,MA관,대흥역
도서관에서 J관 가는 법좀,도서관,J관
삼성 가브리엘 관에서 곤자가 국제학사로 가는 가장 빠른 길을 알려줘!,삼성 가브리엘 관,곤자가 국제학사
제이관에서 우정원 1층 어떻게 가,제이관,우정원 1층
다산관에서 곤자가 플라자,다산관,곤자가 플라자
"벨라에서 로욜라 가는 길 ",벨라,로욜라
RA관에서 로욜라 어케 감,RA관,로욜라
"후문에서 본관 가는 법이 궁금해 ",후문,본관
RA에서 J관 3층 가기,RA,J관 3층
로욜라에서 gn관 어떻게 가,로욜라,gn관
"메리홀에서 곤자가 GS 가는 법? ",메리홀,곤자가 GS
케이관에서 마관을 빠르게 갈 수 있을까?,케이관,마관
김대건관에서 마태오관 가는 법 알려줘,김대건관,마태오관
알관에서 정문 가는 빠른 길 알려줘,알관,정문
케이관에서 대흥역으로 가기,케이관,대흥역
곤자가 기숙사에서 마태오관 가는 가장 빠른 길?,곤자가 기숙사,마태오관
엠마오관에서 로욜라 도서관 가는 법좀 알려주라,엠마오관,로욜라 도서관
MA관에서 이대역 가는 빠른 방법 알려줘,MA관,이대역
케이에서 제이 어떡해 가나요,케이,제이
길찾기 마관에서 다산관,마관,다산관
"벨라에서 신촌역 어떻게 가?? ",벨라,신촌역
신촌역에서 대흥역을 어떻게 갈까,신촌역,대흥역
정문 케이관 가는 길 보여줘,정문,케이관
"본관에서 PA관 가는 법 ",본관,PA관
본관에서 다산관,본관,다산관
벨라에서 다산관까지 어케가?,벨라,다산관
ma관 다산관 빠르게 가는 방법?,ma관,다산관
정문에서 후문까지 걸어서 얼마나 걸려?,정문,후문
금호 아시아나 바오르 경영관에서 토마스 모어관 어떻게 가?,금호 아시아나 바오르 경영관,토마스 모어관
마관 제이관 최단 루트,마관,제이관
후문에서 PA관 가는 법 알려줘,후문,PA관
대흥역에서 다산관 지하 1층 어떻게 가,대흥역,다산관 지하 1층
남문에서 마관 어떻게 가?,남문,마관
신촌역에서 다산관,신촌역,다산관
곤플에서 gn 가는 법,곤플,gn
다산관-이대역 길찾기,다산관,이대역
" 곤플에서 우정원 길",곤플,우정원
우정원에서 마관 가는 법,우정원,마관
정하상관에서 파관 가는 법 알려줘,정하상관,파관
우정원에서 PA관 가는 길좀 알려줘,우정원,PA관
파관에서 로욜라 가는법을 알려줘,파관,로욜라
대흥 → 제이관,대흥,제이관
AS관에서 정문으로 가고 싶어,AS관,정문
우정관에서 대흥역 어떻게 가?,우정관,대흥역
R관에서 다산관 가는법,R관,다산관
곤자가 플라자에서 정문까지 어떻게 갈까?,곤자가 플라자,정문
로욜라를 가는 법 제이관 시작,제이관,로욜라
대흥역에서 R관 빨리가는 법 알려줘,대흥역,R관
이냐시오 성당에서 다산관으로 어떻게 가니,이냐시오 성당,다산관
"마관 j관 어케 가 ㅠㅠ ",마관,j관
대흥역에서 개뛰면 다산관까지 10분컷 가능???제발,대흥역,다산관
대흥역에서 개뛰면 k관까지 10분컷 가능???제발,대흥역,k관
서강대역에서 R관 1층 어떻게 가?,서강대역,R관 1층
R관에서 다산관 어떻게 가?,R관,다산관
정문에서 후문까지 최단루트 알려줘,정문,후문
정하상관에서 리찌별관까지 가는 법 알려줘,정하상관,리찌별관
운동장에서 엠마오관 뚜껑가는 법 알려줘,운동장,엠마오관 뚜껑
