Sentence,keyword
수업 관련 돼서 물어볼게 있는데 어디에 전화해야대??,수업
본관 연락처 좀 알려줘,본관 연락처
학생지원팀 번호좀,학생지원팀
교수학습센터 문의사항 있는데 어디다 연락해야 할까?,교수학습센터
취지팀 연락처좀,취지팀
경제과 행정실 번호좀 알려줘,경제과 행정실
다중전공 신청을 어디서 해야해?,다중전공
수학과 연락처 좀 알려줄 수 있어?,수학과 연락처
수강허가서 어디다가 제출해야함?,수강허가서
현장실습 하고 싶은데 어디다가 연락해야대?,현장실습
곤자가 사감실 번호 좀,곤자가 사감실
사회학 행정팀의 전화번호,사회학 행정팀
벨라 행정실 연락처,벨라 행정실
화학 행정팀 전화번호,화학 행정팀
수학과 행정실 번호가 궁금해,수학과 행정실
잡카페 번호 내놔,잡카페
취업지원팀 번호를 알려줘,취업지원팀
정보통신원 전화번호 좀,정보통신원
경영학 행정팀,경영학 행정팀
경영학과 행정실은 어디에 있나요?,경영학과 행정실
경영학과 행정실 연락처 뭐야?,경영학과 행정실
학교 보건실 전화번호 주삼,보건실
학생지원팀 전화번호,학생지원팀
잡까페에 연락하고 싶은데 번호가 궁금해,잡까페
아텍 행정팀 전화번호를 주세요,아텍 행정팀
컴퓨터 공학 연락처를 알려주라,컴퓨터 공학 연락처
학교 보건실 어디에 있어?,보건실
로욜라 도서관 연락처가 궁금해,로욜라 도서관
윈도우 다운받고 싶은데 어디에 문의해야해?,윈도우
이냐시오 성당 문의 전화번호,이냐시오 성당
경영학 관련 문의,경영학
교수학습센터 연락처 뭐야?,교수학습센터
전인교육원 관련 연락처 좀,전인교육원
취지팀 번호 좀,취지팀
메리홀 번호가 궁금해,메리홀
수학과 행정실 전화번호 알려줘,수학과 행정실
국어국문학 전화번호좀 알려줘,국어국문학
실습지원센터 정보 줘,실습지원센터
재무팀 전화번호 보내주라,재무팀
일본문화과 행정팀 전화번호,일본문화과
심리학 행정팀에게 연락하려면 어디로 해야하지,심리학 행정팀
프랑스 문화 전화번호 좀 알려줘,프랑스 문화
원격교육지원센터 전번 알려줘,원격교육지원센터
유럽문화 행정팀 전화번호를 내어주렴,유럽문화 행정팀
심리학과 사무실 번호 궁금,심리학과 사무실
현장실습센터 번호가 어떻게 됨,현장실습센터
컴공 학점 관련 문의할 곳 전화번호 알려줘,컴공 학점
시반공 학과사무실 전화 번호,시반공 학과사무실
철학 연락처,철학 연락처
수학과 과사 전화번호좀,수학과 과사
기계공학 연락처,기계공학
수학 전화번호 알려주셈,수학
컴공과는 어따 전화해 ,컴공과
물리학 행정실 전화번호,물리학 행정실
현장실습 센터 번호줘 ,현장실습 센터
영문학부 연락처,영문학부
전자공학 행정팀 연락처 빨리,전자공학 행정팀
총장님 번호 알려줘,총장님
장애학생지원센터 전화번호 알려줘,장애학생지원센터
학교 상담실 번호 뭐야?,학교 상담실
벨라 전화번호 알려줘,벨라
경제학과 행정실 어디로 연락해야 돼?,경제학과 행정실
컴공 행정실 전화번호좀,컴공 행정실
박숙자 교수님 연락처 알려줘,
교목처 연락처가 어떻게 돼?,
학지팀 번호 알려줘,
수업에 대해서 질문할게 있는데 어디에 물어봐야 할까??,
경제관 행정실 번호좀 알려줘,
영문과 행정실 번호좀,
과목이수표가 좀 이상해서 그런데 어디다 전화해야 해?,
학지팀에 문의가 있어요..,
취지팀!!!!,
교수학습센터 연락처점..,
